Date,FY17,FY18,FY19,FY20,
15-Jun,13355,12682,10584,,
16-Jun,13301,11712,11624,,
17-Jun,12113,12083,14270,,
18-Jun,12311,15511,13986,,
19-Jun,14651,15611,14081,,
20-Jun,13014,14049,13986,,
21-Jun,13553,14295,12191,,
22-Jun,13553,12279,10490,,
23-Jun,13607,11485,10742,,
24-Jun,12077,11951,13671,,
25-Jun,11069,13583,13797,,
26-Jun,12113,12732,13356,,
27-Jun,12257,13243,15143,,
28-Jun,12257,13855,14105,,
29-Jun,12707,13801,12762,,
30-Jun,13355,13261,12762,,
,,,,,
,,,,,
,,,,,
