Housing Location,Type of Energy,,,Start Date,End Date,,Usage,Unit,Cost,,
Student TH 4262 Chain Bridge Road,Electric,4537784094,201601,12/23/2015,1/26/2016,STUDENTTH4262ELEC03,928 ,KWH,$92.40 ,,
Student TH 4262 Chain Bridge Road,Electric,4537784094,201602,1/26/2016,2/24/2016,STUDENTTH4262ELEC03,927 ,KWH,$92.29 ,,
Student TH 4262 Chain Bridge Road,Electric,4537784094,201603,2/24/2016,3/24/2016,STUDENTTH4262ELEC03,722 ,KWH,$74.13 ,,
Student TH 4262 Chain Bridge Road,Electric,4537784094,201604,3/24/2016,4/27/2016,STUDENTTH4262ELEC03,907 ,KWH,$90.75 ,,
Student TH 4262 Chain Bridge Road,Electric,4537784094,201605,4/27/2016,5/24/2016,STUDENTTH4262ELEC03,433 ,KWH,$48.93 ,,
Student TH 4262 Chain Bridge Road,Electric,4537784094,201606,5/24/2016,6/23/2016,STUDENTTH4262ELEC03,232 ,KWH,$30.92 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201507,6/24/2015,7/27/2015,STUDENTTH4262ELEC04,412 ,KWH,$47.06 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201508,7/27/2015,8/24/2015,STUDENTTH4262ELEC04,318 ,KWH,$38.61 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201509,8/24/2015,9/24/2015,STUDENTTH4262ELEC04,"1,024 ",KWH,$101.24 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201510,9/24/2015,10/22/2015,STUDENTTH4262ELEC04,889 ,KWH,$89.03 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201511,10/22/2015,11/24/2015,STUDENTTH4262ELEC04,"1,234 ",KWH,$119.68 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201512,11/24/2015,12/23/2015,STUDENTTH4262ELEC04,"1,025 ",KWH,$101.10 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201601,12/23/2015,1/26/2016,STUDENTTH4262ELEC04,"1,113 ",KWH,$108.81 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201602,1/26/2016,2/24/2016,STUDENTTH4262ELEC04,"1,364 ",KWH,$131.04 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201603,2/24/2016,3/24/2016,STUDENTTH4262ELEC04,"1,100 ",KWH,$107.62 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201604,3/24/2016,4/27/2016,STUDENTTH4262ELEC04,"1,095 ",KWH,$107.44 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201605,4/27/2016,5/24/2016,STUDENTTH4262ELEC04,558 ,KWH,$60.09 ,,
Student TH 4262 Chain Bridge Road,Electric,4545307227,201606,5/24/2016,6/23/2016,STUDENTTH4262ELEC04,162 ,KWH,$24.65 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201507,6/30/2015,7/31/2015,STUDENTTH4262ELEC05,385 ,KWH,$44.65 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201508,7/31/2015,8/27/2015,STUDENTTH4262ELEC05,430 ,KWH,$48.67 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201509,8/27/2015,9/28/2015,STUDENTTH4262ELEC05,"1,016 ",KWH,$100.40 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201510,9/28/2015,10/28/2015,STUDENTTH4262ELEC05,809 ,KWH,$81.94 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201511,10/28/2015,12/1/2015,STUDENTTH4262ELEC05,"1,124 ",KWH,$109.88 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201512,12/1/2015,12/31/2015,STUDENTTH4262ELEC05,829 ,KWH,$83.72 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201601,12/31/2015,2/2/2016,STUDENTTH4262ELEC05,"1,554 ",KWH,$147.87 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201602,2/2/2016,2/29/2016,STUDENTTH4262ELEC05,16 ,KWH,$151.85 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201603,2/29/2016,3/31/2016,STUDENTTH4262ELEC05,918 ,KWH,$91.49 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201604,3/31/2016,4/29/2016,STUDENTTH4262ELEC05,818 ,KWH,$82.90 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201605,4/29/2016,5/31/2016,STUDENTTH4262ELEC05,440 ,KWH,$49.57 ,,
Student TH 4262 Chain Bridge Road,Electric,4552705008,201606,5/31/2016,6/28/2016,STUDENTTH4262ELEC05,108 ,KWH,$19.81 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201507,6/30/2015,7/31/2015,STUDENTTH4262ELEC06,530 ,KWH,$57.63 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201508,7/31/2015,8/27/2015,STUDENTTH4262ELEC06,381 ,KWH,$44.27 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201509,8/27/2015,9/29/2015,STUDENTTH4262ELEC06,"1,260 ",KWH,$122.09 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201510,9/29/2015,10/28/2015,STUDENTTH4262ELEC06,667 ,KWH,$69.34 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201511,10/28/2015,12/1/2015,STUDENTTH4262ELEC06,687 ,KWH,$71.11 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201512,12/1/2015,12/31/2015,STUDENTTH4262ELEC06,967 ,KWH,$95.97 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201601,12/31/2015,2/2/2016,STUDENTTH4262ELEC06,"2,213 ",KWH,$206.24 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201602,2/2/2016,2/29/2016,STUDENTTH4262ELEC06,"1,766 ",KWH,$166.63 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201603,2/29/2016,3/31/2016,STUDENTTH4262ELEC06,"1,175 ",KWH,$114.27 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201604,3/31/2016,4/29/2016,STUDENTTH4262ELEC06,"1,004 ",KWH,$99.42 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201605,4/29/2016,5/31/2016,STUDENTTH4262ELEC06,389 ,KWH,$44.97 ,,
Student TH 4262 Chain Bridge Road,Electric,4568693826,201606,5/31/2016,6/28/2016,STUDENTTH4262ELEC06,193 ,KWH,$27.43 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201507,6/24/2015,7/27/2015,STUDENTTH4262ELEC07,704 ,KWH,$73.21 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201508,7/27/2015,8/24/2015,STUDENTTH4262ELEC07,432 ,KWH,$48.86 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201509,8/24/2015,9/24/2015,STUDENTTH4262ELEC07,936 ,KWH,$93.37 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201510,9/24/2015,10/22/2015,STUDENTTH4262ELEC07,521 ,KWH,$56.37 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201511,10/22/2015,11/24/2015,STUDENTTH4262ELEC07,784 ,KWH,$79.72 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201512,11/24/2015,12/23/2015,STUDENTTH4262ELEC07,835 ,KWH,$84.26 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201601,12/23/2015,1/26/2016,STUDENTTH4262ELEC07,"1,285 ",KWH,$124.05 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201602,1/26/2016,2/24/2016,STUDENTTH4262ELEC07,"1,166 ",KWH,$113.47 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201603,2/24/2016,3/24/2016,STUDENTTH4262ELEC07,823 ,KWH,$83.08 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201604,3/24/2016,4/27/2016,STUDENTTH4262ELEC07,683 ,KWH,$70.84 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201605,4/27/2016,5/24/2016,STUDENTTH4262ELEC07,469 ,KWH,$52.15 ,,
Student TH 4262 Chain Bridge Road,Electric,4572102327,201606,5/24/2016,6/23/2016,STUDENTTH4262ELEC07,165 ,KWH,$24.93 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201507,6/24/2015,7/27/2015,STUDENTTH4262ELEC08,606 ,KWH,$64.45 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201508,7/27/2015,8/24/2015,STUDENTTH4262ELEC08,520 ,KWH,$56.74 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201509,8/24/2015,9/24/2015,STUDENTTH4262ELEC08,894 ,KWH,$89.65 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201510,9/24/2015,10/22/2015,STUDENTTH4262ELEC08,879 ,KWH,$88.15 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201511,10/22/2015,11/24/2015,STUDENTTH4262ELEC08,"1,026 ",KWH,$101.19 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201512,11/24/2015,12/23/2015,STUDENTTH4262ELEC08,691 ,KWH,$71.48 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201601,12/23/2015,1/26/2016,STUDENTTH4262ELEC08,"1,392 ",KWH,$133.55 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201602,1/26/2016,2/24/2016,STUDENTTH4262ELEC08,"1,220 ",KWH,$118.27 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201603,2/24/2016,3/24/2016,STUDENTTH4262ELEC08,850 ,KWH,$85.46 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201604,3/24/2016,4/27/2016,STUDENTTH4262ELEC08,949 ,KWH,$94.49 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201605,4/27/2016,5/24/2016,STUDENTTH4262ELEC08,596 ,KWH,$63.51 ,,
Student TH 4262 Chain Bridge Road,Electric,4583641792,201606,5/24/2016,6/23/2016,STUDENTTH4262ELEC08,360 ,KWH,$42.42 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201507,6/24/2015,7/27/2015,STUDENTTH4262ELEC09,551 ,KWH,$59.51 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201508,7/27/2015,8/24/2015,STUDENTTH4262ELEC09,425 ,KWH,$48.21 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201509,8/24/2015,9/24/2015,STUDENTTH4262ELEC09,"1,137 ",KWH,$111.26 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201510,9/24/2015,10/22/2015,STUDENTTH4262ELEC09,874 ,KWH,$87.71 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201511,10/22/2015,11/24/2015,STUDENTTH4262ELEC09,"1,083 ",KWH,$106.25 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201512,11/24/2015,12/23/2015,STUDENTTH4262ELEC09,833 ,KWH,$84.05 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201601,12/23/2015,1/26/2016,STUDENTTH4262ELEC09,755 ,KWH,$77.05 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201602,1/26/2016,2/24/2016,STUDENTTH4262ELEC09,966 ,KWH,$95.75 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201603,2/24/2016,3/24/2016,STUDENTTH4262ELEC09,810 ,KWH,$81.93 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201604,3/24/2016,4/27/2016,STUDENTTH4262ELEC09,928 ,KWH,$92.61 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201605,4/27/2016,5/24/2016,STUDENTTH4262ELEC09,581 ,KWH,$62.15 ,,
Student TH 4262 Chain Bridge Road,Electric,4592164927,201606,5/24/2016,6/23/2016,STUDENTTH4262ELEC09,894 ,KWH,$90.26 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201507,6/24/2015,7/27/2015,STUDENTTH4262ELEC10,626 ,KWH,$66.22 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201508,7/27/2015,8/24/2015,STUDENTTH4262ELEC10,397 ,KWH,$45.70 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201509,8/24/2015,9/24/2015,STUDENTTH4262ELEC10,798 ,KWH,$81.12 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201510,9/24/2015,10/22/2015,STUDENTTH4262ELEC10,638 ,KWH,$66.75 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201511,10/22/2015,11/24/2015,STUDENTTH4262ELEC10,982 ,KWH,$97.29 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201512,11/24/2015,12/23/2015,STUDENTTH4262ELEC10,773 ,KWH,$78.73 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201601,12/23/2015,1/26/2016,STUDENTTH4262ELEC10,"1,217 ",KWH,$118.04 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201602,1/26/2016,2/24/2016,STUDENTTH4262ELEC10,826 ,KWH,$83.34 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201603,2/24/2016,3/24/2016,STUDENTTH4262ELEC10,686 ,KWH,$70.93 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201604,3/24/2016,4/27/2016,STUDENTTH4262ELEC10,755 ,KWH,$77.23 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201605,4/27/2016,5/24/2016,STUDENTTH4262ELEC10,474 ,KWH,$52.61 ,,
Student TH 4262 Chain Bridge Road,Electric,4608642585,201606,5/24/2016,6/23/2016,STUDENTTH4262ELEC10,150 ,KWH,$23.58 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201507,6/30/2015,7/31/2015,STUDENTTH4262ELEC11,446 ,KWH,$50.09 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201508,7/31/2015,8/27/2015,STUDENTTH4262ELEC11,210 ,KWH,$28.95 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201509,8/27/2015,9/28/2015,STUDENTTH4262ELEC11,"1,692 ",KWH,$160.48 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201510,9/28/2015,10/28/2015,STUDENTTH4262ELEC11,"2,482 ",KWH,$230.42 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201511,10/28/2015,12/1/2015,STUDENTTH4262ELEC11,"1,969 ",KWH,$184.91 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201512,12/1/2015,12/31/2015,STUDENTTH4262ELEC11,"1,915 ",KWH,$180.10 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201601,12/31/2015,2/2/2016,STUDENTTH4262ELEC11,"2,270 ",KWH,$211.33 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201602,2/2/2016,2/29/2016,STUDENTTH4262ELEC11,"3,345 ",KWH,$306.59 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201603,2/29/2016,3/31/2016,STUDENTTH4262ELEC11,"4,712 ",KWH,$409.98 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201604,3/31/2016,4/29/2016,STUDENTTH4262ELEC11,"4,010 ",KWH,$358.81 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201605,4/29/2016,5/31/2016,STUDENTTH4262ELEC11,"5,797 ",KWH,$494.58 ,,
Student TH 4262 Chain Bridge Road,Electric,4612822504,201606,5/31/2016,6/28/2016,STUDENTTH4262ELEC11,"5,085 ",KWH,$444.80 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201507,6/24/2015,7/27/2015,STUDENTTH4262ELEC12,480 ,KWH,$53.13 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201508,7/27/2015,8/24/2015,STUDENTTH4262ELEC12,460 ,KWH,$51.36 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201509,8/24/2015,9/24/2015,STUDENTTH4262ELEC12,"1,131 ",KWH,$110.76 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201510,9/24/2015,10/22/2015,STUDENTTH4262ELEC12,971 ,KWH,$96.33 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201511,10/22/2015,11/24/2015,STUDENTTH4262ELEC12,"1,140 ",KWH,$111.32 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201512,11/24/2015,12/23/2015,STUDENTTH4262ELEC12,"1,099 ",KWH,$107.67 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201601,12/23/2015,1/26/2016,STUDENTTH4262ELEC12,"1,766 ",KWH,$166.69 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201602,1/26/2016,2/24/2016,STUDENTTH4262ELEC12,"1,568 ",KWH,$149.09 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201603,2/24/2016,3/24/2016,STUDENTTH4262ELEC12,"1,235 ",KWH,$119.59 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201604,3/24/2016,4/27/2016,STUDENTTH4262ELEC12,"1,265 ",KWH,$122.56 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201605,4/27/2016,5/24/2016,STUDENTTH4262ELEC12,676 ,KWH,$70.67 ,,
Student TH 4262 Chain Bridge Road,Electric,4628799126,201606,5/24/2016,6/23/2016,STUDENTTH4262ELEC12,844 ,KWH,$85.79 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201507,6/30/2015,7/31/2015,STUDENTTH4264ELEC01,541 ,KWH,$58.62 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201508,7/31/2015,8/27/2015,STUDENTTH4264ELEC01,499 ,KWH,$54.81 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201509,8/27/2015,9/28/2015,STUDENTTH4264ELEC01,913 ,KWH,$91.28 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201510,9/28/2015,10/28/2015,STUDENTTH4264ELEC01,749 ,KWH,$76.59 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201511,10/28/2015,12/2/2015,STUDENTTH4264ELEC01,711 ,KWH,$73.23 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201512,12/2/2015,12/31/2015,STUDENTTH4264ELEC01,551 ,KWH,$59.04 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201601,12/31/2015,2/2/2016,STUDENTTH4264ELEC01,730 ,KWH,$74.82 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201602,2/2/2016,2/29/2016,STUDENTTH4264ELEC01,922 ,KWH,$91.83 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201603,2/29/2016,3/31/2016,STUDENTTH4264ELEC01,827 ,KWH,$83.41 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201604,3/31/2016,4/29/2016,STUDENTTH4264ELEC01,847 ,KWH,$85.48 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201605,4/29/2016,5/31/2016,STUDENTTH4264ELEC01,476 ,KWH,$52.78 ,,
Student TH 4264 Chain Bridge Road,Electric,4635790761,201606,5/31/2016,6/28/2016,STUDENTTH4264ELEC01,97 ,KWH,$18.83 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201507,6/30/2015,7/31/2015,STUDENTTH4264ELEC02,265 ,KWH,$33.88 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201508,7/31/2015,8/27/2015,STUDENTTH4264ELEC02,165 ,KWH,$24.90 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201509,8/27/2015,9/28/2015,STUDENTTH4264ELEC02,700 ,KWH,$72.36 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201510,9/28/2015,10/28/2015,STUDENTTH4264ELEC02,814 ,KWH,$82.38 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201511,10/28/2015,12/2/2015,STUDENTTH4264ELEC02,"1,137 ",KWH,$111.05 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201512,12/2/2015,12/31/2015,STUDENTTH4264ELEC02,840 ,KWH,$84.69 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201601,12/31/2015,2/2/2016,STUDENTTH4264ELEC02,"2,106 ",KWH,$196.78 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201602,2/2/2016,2/29/2016,STUDENTTH4264ELEC02,"2,549 ",KWH,$236.05 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201603,2/29/2016,3/31/2016,STUDENTTH4264ELEC02,"1,819 ",KWH,$171.36 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201604,3/31/2016,4/29/2016,STUDENTTH4264ELEC02,"1,336 ",KWH,$128.95 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201605,4/29/2016,5/31/2016,STUDENTTH4264ELEC02,791 ,KWH,$81.01 ,,
Student TH 4264 Chain Bridge Road,Electric,4642765004,201606,5/31/2016,6/28/2016,STUDENTTH4264ELEC02,206 ,KWH,$28.59 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201507,6/30/2015,7/31/2015,STUDENTTH4264ELEC03,528 ,KWH,$57.45 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201508,7/31/2015,8/27/2015,STUDENTTH4264ELEC03,366 ,KWH,$42.94 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201509,8/27/2015,9/28/2015,STUDENTTH4264ELEC03,"1,000 ",KWH,$99.00 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201510,9/28/2015,10/28/2015,STUDENTTH4264ELEC03,832 ,KWH,$83.98 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201511,10/28/2015,12/2/2015,STUDENTTH4264ELEC03,916 ,KWH,$91.43 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201512,12/2/2015,12/31/2015,STUDENTTH4264ELEC03,858 ,KWH,$86.28 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201601,12/31/2015,2/2/2016,STUDENTTH4264ELEC03,"1,614 ",KWH,$153.19 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201602,2/2/2016,2/29/2016,STUDENTTH4264ELEC03,"1,186 ",KWH,$115.25 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201603,2/29/2016,3/31/2016,STUDENTTH4264ELEC03,"1,164 ",KWH,$113.31 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201604,3/31/2016,4/29/2016,STUDENTTH4264ELEC03,"1,176 ",KWH,$114.73 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201605,4/29/2016,5/31/2016,STUDENTTH4264ELEC03,602 ,KWH,$64.07 ,,
Student TH 4264 Chain Bridge Road,Electric,4651790745,201606,5/31/2016,6/28/2016,STUDENTTH4264ELEC03,239 ,KWH,$31.57 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201507,6/30/2015,7/31/2015,STUDENTTH4264ELEC04,403 ,KWH,$46.28 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201508,7/31/2015,8/27/2015,STUDENTTH4264ELEC04,299 ,KWH,$36.92 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201509,8/27/2015,9/28/2015,STUDENTTH4264ELEC04,715 ,KWH,$73.68 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201510,9/28/2015,10/28/2015,STUDENTTH4264ELEC04,718 ,KWH,$73.85 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201511,10/28/2015,12/2/2015,STUDENTTH4264ELEC04,884 ,KWH,$88.59 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201512,12/2/2015,12/31/2015,STUDENTTH4264ELEC04,797 ,KWH,$80.88 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201601,12/31/2015,2/2/2016,STUDENTTH4264ELEC04,"1,188 ",KWH,$115.42 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201602,2/2/2016,2/29/2016,STUDENTTH4264ELEC04,948 ,KWH,$94.16 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201603,2/29/2016,3/31/2016,STUDENTTH4264ELEC04,786 ,KWH,$79.80 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201604,3/31/2016,4/29/2016,STUDENTTH4264ELEC04,576 ,KWH,$61.35 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201605,4/29/2016,5/31/2016,STUDENTTH4264ELEC04,355 ,KWH,$41.92 ,,
Student TH 4264 Chain Bridge Road,Electric,4669226732,201606,5/31/2016,6/28/2016,STUDENTTH4264ELEC04,134 ,KWH,$22.15 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201507,6/30/2015,7/31/2015,STUDENTTH4264ELEC05,336 ,KWH,$40.22 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201508,7/31/2015,8/27/2015,STUDENTTH4264ELEC05,184 ,KWH,$26.61 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201509,8/27/2015,9/28/2015,STUDENTTH4264ELEC05,475 ,KWH,$52.35 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201510,9/28/2015,10/28/2015,STUDENTTH4264ELEC05,609 ,KWH,$64.18 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201511,10/28/2015,12/2/2015,STUDENTTH4264ELEC05,771 ,KWH,$78.55 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201512,12/2/2015,12/31/2015,STUDENTTH4264ELEC05,626 ,KWH,$65.69 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201601,12/31/2015,2/2/2016,STUDENTTH4264ELEC05,"1,206 ",KWH,$117.00 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201602,2/2/2016,2/29/2016,STUDENTTH4264ELEC05,"1,096 ",KWH,$107.27 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201603,2/29/2016,3/31/2016,STUDENTTH4264ELEC05,863 ,KWH,$86.62 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201604,3/31/2016,4/29/2016,STUDENTTH4264ELEC05,652 ,KWH,$68.12 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201605,4/29/2016,5/31/2016,STUDENTTH4264ELEC05,381 ,KWH,$44.27 ,,
Student TH 4264 Chain Bridge Road,Electric,4672735000,201606,5/31/2016,6/28/2016,STUDENTTH4264ELEC05,104 ,KWH,$19.46 ,,
Student TH 4264 Chain Bridge Road,Electric,4688462342,201507,6/30/2015,7/31/2015,STUDENTTH4264ELEC06,510 ,KWH,$55.84 ,,
Student TH 4264 Chain Bridge Road,Electric,4688462342,201508,7/31/2015,8/27/2015,STUDENTTH4264ELEC06,287 ,KWH,$35.84 ,,
Student TH 4264 Chain Bridge Road,Electric,4688462342,201509,8/27/2015,9/28/2015,STUDENTTH4264ELEC06,934 ,KWH,$93.13 ,,
Student TH 4264 Chain Bridge Road,Electric,4688462342,201510,9/28/2015,10/28/2015,STUDENTTH4264ELEC06,751 ,KWH,$76.78 ,,
Student TH 4264 Chain Bridge Road,Electric,4688462342,201511,10/28/2015,12/2/2015,STUDENTTH4264ELEC06,745 ,KWH,$76.25 ,,
Student TH 4264 Chain Bridge Road,Electric,4688462342,201512,12/2/2015,12/31/2015,STUDENTTH4264ELEC06,652 ,KWH,$67.99 ,,
Student TH 4264 Chain Bridge Road,Electric,4688462342,201601,12/31/2015,2/2/2016,STUDENTTH4264ELEC06,962 ,KWH,$95.41 ,,
